# radius         dens           temp        c12          ne22
258
  6.200000E+07  6.648202E+08  3.795260E+08  5.00000E-01  0.00000E+00
  6.280000E+07  6.471234E+08  3.743095E+08  5.00000E-01  0.00000E+00
  6.360000E+07  6.297832E+08  3.691293E+08  5.00000E-01  0.00000E+00
  6.440000E+07  6.127980E+08  3.639867E+08  5.00000E-01  0.00000E+00
  6.520000E+07  5.961667E+08  3.588826E+08  5.00000E-01  0.00000E+00
  6.600000E+07  5.798878E+08  3.538180E+08  5.00000E-01  0.00000E+00
  6.680000E+07  5.639587E+08  3.487938E+08  5.00000E-01  0.00000E+00
  6.760000E+07  5.483763E+08  3.438110E+08  5.00000E-01  0.00000E+00
  6.840000E+07  5.331373E+08  3.388702E+08  5.00000E-01  0.00000E+00
  6.920000E+07  5.182387E+08  3.339722E+08  5.00000E-01  0.00000E+00
  7.000000E+07  5.036775E+08  3.291177E+08  5.00000E-01  0.00000E+00
  7.080000E+07  4.894503E+08  3.243073E+08  5.00000E-01  0.00000E+00
  7.160000E+07  4.755531E+08  3.195417E+08  5.00000E-01  0.00000E+00
  7.240000E+07  4.619828E+08  3.148212E+08  5.00000E-01  0.00000E+00
  7.320000E+07  4.487347E+08  3.101465E+08  5.00000E-01  0.00000E+00
  7.400000E+07  4.358041E+08  3.055179E+08  5.00000E-01  0.00000E+00
  7.480000E+07  4.231862E+08  3.009359E+08  5.00000E-01  0.00000E+00
  7.560000E+07  4.108764E+08  2.964007E+08  5.00000E-01  0.00000E+00
  7.640000E+07  3.988706E+08  2.919126E+08  5.00000E-01  0.00000E+00
  7.720000E+07  3.871637E+08  2.874720E+08  5.00000E-01  0.00000E+00
  7.800000E+07  3.757512E+08  2.830789E+08  5.00000E-01  0.00000E+00
  7.880000E+07  3.646285E+08  2.787337E+08  5.00000E-01  0.00000E+00
  7.960000E+07  3.537902E+08  2.744365E+08  5.00000E-01  0.00000E+00
  8.040000E+07  3.432308E+08  2.701873E+08  5.00000E-01  0.00000E+00
  8.120000E+07  3.329451E+08  2.659863E+08  5.00000E-01  0.00000E+00
  8.200000E+07  3.229280E+08  2.618334E+08  5.00000E-01  0.00000E+00
  8.280000E+07  3.131749E+08  2.577287E+08  5.00000E-01  0.00000E+00
  8.360000E+07  3.036801E+08  2.536721E+08  5.00000E-01  0.00000E+00
  8.440000E+07  2.944392E+08  2.496637E+08  5.00000E-01  0.00000E+00
  8.520000E+07  2.854469E+08  2.457033E+08  5.00000E-01  0.00000E+00
  8.600000E+07  2.766977E+08  2.417908E+08  5.00000E-01  0.00000E+00
  8.680000E+07  2.681862E+08  2.379262E+08  5.00000E-01  0.00000E+00
  8.760000E+07  2.599073E+08  2.341092E+08  5.00000E-01  0.00000E+00
  8.840000E+07  2.518561E+08  2.303397E+08  5.00000E-01  0.00000E+00
  8.920000E+07  2.440277E+08  2.266174E+08  5.00000E-01  0.00000E+00
  9.000000E+07  2.364171E+08  2.229423E+08  5.00000E-01  0.00000E+00
  9.080000E+07  2.290197E+08  2.193140E+08  5.00000E-01  0.00000E+00
  9.160000E+07  2.218303E+08  2.157323E+08  5.00000E-01  0.00000E+00
  9.240000E+07  2.148438E+08  2.121970E+08  5.00000E-01  0.00000E+00
  9.320000E+07  2.080552E+08  2.087078E+08  5.00000E-01  0.00000E+00
  9.400000E+07  2.014601E+08  2.052643E+08  5.00000E-01  0.00000E+00
  9.480000E+07  1.950538E+08  2.018662E+08  5.00000E-01  0.00000E+00
  9.560000E+07  1.888318E+08  1.985133E+08  5.00000E-01  0.00000E+00
  9.640000E+07  1.827897E+08  1.952051E+08  5.00000E-01  0.00000E+00
  9.720000E+07  1.769230E+08  1.919414E+08  5.00000E-01  0.00000E+00
  9.800000E+07  1.712270E+08  1.887218E+08  5.00000E-01  0.00000E+00
  9.880000E+07  1.656973E+08  1.855460E+08  5.00000E-01  0.00000E+00
  9.960000E+07  1.603297E+08  1.824134E+08  5.00000E-01  0.00000E+00
  1.004000E+08  1.551202E+08  1.793238E+08  5.00000E-01  0.00000E+00
  1.012000E+08  1.500647E+08  1.762768E+08  5.00000E-01  0.00000E+00
  1.020000E+08  1.451594E+08  1.732719E+08  5.00000E-01  0.00000E+00
  1.028000E+08  1.404001E+08  1.703088E+08  5.00000E-01  0.00000E+00
  1.036000E+08  1.357829E+08  1.673871E+08  5.00000E-01  0.00000E+00
  1.044000E+08  1.313038E+08  1.645063E+08  5.00000E-01  0.00000E+00
  1.052000E+08  1.269593E+08  1.616660E+08  5.00000E-01  0.00000E+00
  1.060000E+08  1.227458E+08  1.588657E+08  5.00000E-01  0.00000E+00
  1.068000E+08  1.186597E+08  1.561051E+08  5.00000E-01  0.00000E+00
  1.076000E+08  1.146977E+08  1.533838E+08  5.00000E-01  0.00000E+00
  1.084000E+08  1.108563E+08  1.507012E+08  5.00000E-01  0.00000E+00
  1.092000E+08  1.071320E+08  1.480569E+08  5.00000E-01  0.00000E+00
  1.100000E+08  1.035215E+08  1.454506E+08  5.00000E-01  0.00000E+00
  1.108000E+08  1.000217E+08  1.428817E+08  5.00000E-01  0.00000E+00
  1.116000E+08  9.662962E+07  1.403498E+08  5.00000E-01  0.00000E+00
  1.124000E+08  9.334220E+07  1.378544E+08  5.00000E-01  0.00000E+00
  1.132000E+08  9.015657E+07  1.353952E+08  5.00000E-01  0.00000E+00
  1.140000E+08  8.706972E+07  1.329717E+08  5.00000E-01  0.00000E+00
  1.148000E+08  8.407870E+07  1.305834E+08  5.00000E-01  0.00000E+00
  1.156000E+08  8.118079E+07  1.282299E+08  5.00000E-01  0.00000E+00
  1.164000E+08  7.837344E+07  1.259108E+08  5.00000E-01  0.00000E+00
  1.172000E+08  7.565397E+07  1.236255E+08  5.00000E-01  0.00000E+00
  1.180000E+08  7.301999E+07  1.213737E+08  5.00000E-01  0.00000E+00
  1.188000E+08  7.046895E+07  1.191549E+08  5.00000E-01  0.00000E+00
  1.196000E+08  6.799833E+07  1.169687E+08  5.00000E-01  0.00000E+00
  1.204000E+08  6.560572E+07  1.148147E+08  5.00000E-01  0.00000E+00
  1.212000E+08  6.328892E+07  1.126924E+08  5.00000E-01  0.00000E+00
  1.220000E+08  6.104570E+07  1.106013E+08  5.00000E-01  0.00000E+00
  1.228000E+08  5.887395E+07  1.085411E+08  5.00000E-01  0.00000E+00
  1.236000E+08  5.677159E+07  1.065113E+08  5.00000E-01  0.00000E+00
  1.244000E+08  5.473647E+07  1.045116E+08  5.00000E-01  0.00000E+00
  1.252000E+08  5.276652E+07  1.025414E+08  5.00000E-01  0.00000E+00
  1.260000E+08  5.085982E+07  1.006003E+08  5.00000E-01  0.00000E+00
  1.268000E+08  4.901454E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.276000E+08  4.722551E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.284000E+08  4.549465E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.292000E+08  4.382015E+07  9.868804E+07  5.00000E-01  0.00000E+00
  1.300000E+08  4.220024E+07  9.868804E+07  5.00000E-01  0.00000E+00
